,TournamentID,TournamentName,StartDate,EndDate,IsOver,IsInProgress,CourseName,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,tournamentName_Clean,tournamentName,courseName,courseLocation
12,607,John Deere Classic,2024-07-04,2024-07-07,False,False,TPC Deere Run,"Silvis, IL",71.0,7268.0,7800000.0,,False,True,Silvis,IL,,USA,America/Chicago,Stroke,,Full,John Deere Classic,John Deere Classic,TPC Deere Run,"Silvis, IL"
13,606,Rocket Mortgage Classic,2024-06-27,2024-06-30,False,False,Detroit Golf Club,"Detroit, MI",72.0,7340.0,9200000.0,,False,True,Detroit,MI,,USA,America/New York,Stroke,,Full,Rocket Mortgage Classic,Rocket Mortgage Classic,Detroit Golf Club,"Detroit, MI"
14,605,Travelers Championship,2024-06-20,2024-06-23,False,False,TPC River Highlands,"Cromwell, CT",70.0,6841.0,20000000.0,,False,True,Cromwell,CT,,USA,America/New York,Stroke,,Full,Travelers Championship,Travelers Championship,TPC River Highlands,"Cromwell, CT"
15,578,U.S. Open,2024-06-13,2024-06-16,False,False,Pinehurst No. 2,"Pinehurst, NC",70.0,6649.0,,,False,True,Village of Pinehurst,NC,,USA,America/New York,Stroke,,Full,U.S. Open,U.S. Open,Pinehurst No. 2,"Pinehurst, NC"
16,604,the Memorial Tournament pres. by Workday,2024-06-06,2024-06-09,False,False,Muirfield Village Golf Club,"Dublin, OH",72.0,7392.0,20000000.0,,False,True,Dublin,OH,,USA,America/New York,Stroke,,Full,Memorial Tournament,the Memorial Tournament pres. by Workday,Muirfield Village Golf Club,"Dublin, OH"
17,603,RBC Canadian Open,2024-05-30,2024-06-02,False,False,Hamilton Golf & Country Club,"Hamilton, ON",70.0,6966.0,9400000.0,,False,True,"Hamilton, ON",,,CAN,America/Toronto,Stroke,,Full,RBC Canadian Open,RBC Canadian Open,Hamilton Golf & Country Club,"Hamilton, ON"
18,602,Charles Schwab Challenge,2024-05-23,2024-05-26,False,False,Colonial Country Club,"Fort Worth, TX",70.0,7209.0,9100000.0,,False,True,Fort Worth,TX,,USA,America/Chicago,Stroke,,Full,Charles Schwab Challenge,Charles Schwab Challenge,Colonial Country Club,"Fort Worth, TX"
19,577,PGA Championship,2024-05-16,2024-05-19,False,False,Valhalla Golf Club,"Louisville, KY",71.0,7458.0,,,False,True,Louisville,KY,,USA,America/New York,Stroke,,Full,PGA Championship,PGA Championship,Valhalla Golf Club,"Louisville, KY"
20,600,Myrtle Beach Classic,2024-05-09,2024-05-12,False,False,Dunes Golf & Beach Club,"Myrtle Beach, SC",,,4000000.0,,False,True,Myrtle Beach,SC,,USA,America/New York,Stroke,,Full,Myrtle Beach Classic,Myrtle Beach Classic,Dunes Golf & Beach Club,"Myrtle Beach, SC"
21,601,Wells Fargo Championship,2024-05-09,2024-05-12,False,False,Quail Hollow Club,"Charlotte, NC",71.0,7521.0,20000000.0,,False,True,Charlotte,NC,,USA,America/New York,Stroke,,Full,Wells Fargo Championship,Wells Fargo Championship,Quail Hollow Club,"Charlotte, NC"
22,599,CJ Cup Byron Nelson,2024-05-02,2024-05-05,False,False,TPC Craig Ranch,"McKinney, TX",72.0,7468.0,9500000.0,,False,True,McKinney,TX,,USA,America/Chicago,Stroke,,Full,AT&T Byron Nelson,CJ Cup Byron Nelson,TPC Craig Ranch,"McKinney, TX"
23,598,Zurich Classic of New Orleans,2024-04-25,2024-04-28,False,False,TPC Louisiana,"Avondale, LA",72.0,7425.0,8900000.0,,False,False,Avondale,LA,,USA,America/Chicago,Team,,Limited,Zurich Classic of New Orleans,Zurich Classic of New Orleans,TPC Louisiana,"Avondale, LA"
